,OBJECTID,PROVINCE,DISTRICT,DISTRICT.1,District_Name,Population,No. Public clinics,No. Public Hospitals,No. Private Clinics,No. Private Hospital
0,1,GT,EKU,Ekurhuleni,Ekurhuleni District Municipality EKU,3609251,88,7,106,33
1,2,GT,JHB,City of Johannesburg,City of Johannesburg District Municipality JHB,5316210,129,10,245,62
2,3,EC,BUF,Buffalo City,Buffalo City District Municipality BUF,866515,80,4,19,8
3,4,EC,DC10,Sarah Baartman,Sarah Baartman District Municipality DC10,532050,75,15,6,2
4,5,EC,DC12,Amathole,Amathole District Municipality DC12,1002243,147,14,2,8
5,6,EC,DC13,Chris Hani,Chris Hani District Municipality DC13,822086,153,16,2,2
6,7,EC,DC14,Joe Gqabi,Joe Gqabi District Municipality DC14,377137,54,11,1,0
7,8,EC,DC15,O.R.Tambo,O.R.Tambo District Municipality DC15,1511736,144,14,2,3
8,9,EC,DC44,Alfred Nzo,Alfred Nzo District Municipality DC44,879284,74,7,1,1
9,10,EC,NMA,Nelson Mandela Bay,Nelson Mandela Bay District Municipality NMA,1320574,45,7,44,9
10,11,FS,DC16,Xhariep,Xhariep District Municipality DC16,155470,17,4,1,0
11,12,FS,DC18,Lejweleputswa,Lejweleputswa District Municipality DC18,677694,45,7,6,6
12,13,FS,DC19,Thabo Mofutsanyane,Thabo Mofutsanyane District Municipality DC19,796992,80,5,7,4
13,14,FS,DC20,Fezile Dabi,Fezile Dabi District Municipality DC20,507519,39,5,5,4
14,15,FS,MAN,Mangaung,Mangaung District Municipality MAN,787009,56,5,26,14
15,16,GT,DC42,Sedibeng,Sedibeng District Municipality DC42,995665,38,3,19,9
16,17,GT,DC48,West Rand,West Rand District Municipality DC48,890240,50,4,34,13
17,18,GT,TSH,City of Tshwane,City of Tshwane District Municipality TSH,3549978,69,12,147,53
18,19,KZN,DC21,Ugu,Ugu District Municipality DC21,796445,53,5,10,6
19,20,KZN,DC22,Umgungundlovu,Umgungundlovu District Municipality DC22,1184321,61,9,25,15
20,21,KZN,DC23,Uthukela,Uthukela District Municipality DC23,767597,41,3,3,3
21,22,KZN,DC24,Umzinyathi,Umzinyathi District Municipality DC24,575532,57,5,2,2
22,23,KZN,DC25,Amajuba,Amajuba District Municipality DC25,587035,26,3,6,2
23,24,KZN,DC26,Zululand,Zululand District Municipality DC26,894126,81,9,2,4
24,25,KZN,DC27,Umkhanyakude,Umkhanyakude District Municipality DC27,704651,59,5,8,0
25,26,KZN,DC28,Uthungulu,Uthungulu District Municipality DC28,1008374,65,8,8,5
26,27,KZN,DC29,iLembe,iLembe District Municipality DC29,715943,38,5,9,2
27,28,KZN,DC43,Harry Gwala,Harry Gwala District Municipality DC43,520164,40,6,1,2
28,29,KZN,ETH,eThekwini,eThekwini District Municipality ETH,3811781,138,20,127,41
29,30,LIM,DC33,Mopani,Mopani District Municipality DC33,1238400,101,8,12,2
30,31,LIM,DC34,Vhembe,Vhembe District Municipality DC34,1477701,117,8,9,2
31,32,LIM,DC35,Capricorn,Capricorn District Municipality DC35,1350111,99,11,27,3
32,33,LIM,DC36,Waterberg,Waterberg District Municipality DC36,725475,64,9,9,9
33,34,LIM,DC47,Sekhukhune,Sekhukhune District Municipality DC47,1252726,85,7,6,0
34,35,MP,DC30,Gert Sibande,Gert Sibande District Municipality DC30,1215274,67,11,7,6
35,36,MP,DC31,Nkangala,Nkangala District Municipality DC31,1562174,79,9,19,12
36,37,MP,DC32,Ehlanzeni,Ehlanzeni District Municipality DC32,1743182,118,13,23,5
37,38,NC,DC45,John Taolo Gaetsewe,John Taolo Gaetsewe District Municipality DC45,246471,39,2,1,2
38,39,NC,DC6,Namakwa,Namakwa District Municipality DC6,113428,24,2,1,2
39,40,NC,DC7,Pixley ka Seme,Pixley ka Seme District Municipality DC7,211972,31,3,0,1
40,41,NC,DC8,Z F Mgcawu,Z F Mgcawu District Municipality DC8,266692,16,5,1,2
41,42,NC,DC9,Frances Baard,Frances Baard District Municipality DC9,381624,26,5,10,2
42,43,NW,DC37,Bojanala,Bojanala District Municipality DC37,1753849,120,4,25,8
43,44,NW,DC38,Ngaka Modiri Molema,Ngaka Modiri Molema District Municipality DC38,968779,81,7,4,1
44,45,NW,DC39,Dr Ruth Segomotsi Mompati,Dr Ruth Segomotsi Mompati District Municipality DC39,480942,50,5,0,1
45,46,NW,DC40,Dr Kenneth Kaunda,Dr Kenneth Kaunda District Municipality DC40,772321,31,4,10,8
46,47,WC,CPT,City of Cape Town,City of Cape Town District Municipality CPT,4194179,92,28,241,44
47,48,WC,DC1,West Coast,West Coast District Municipality DC1,470157,28,10,4,1
48,49,WC,DC2,Cape Winelands,Cape Winelands District Municipality DC2,933478,60,6,34,6
49,50,WC,DC3,Overberg,Overberg District Municipality DC3,299197,24,4,9,1
50,51,WC,DC4,Eden,Eden District Municipality DC4,636303,39,8,18,9
51,52,WC,DC5,Central Karoo,Central Karoo District Municipality DC5,77603,11,4,1,4
