,District,Sub-District,Vaccination Site Name,Type of site,Pfizer or J&J,Start Date,Site Active (Yes/No),Open Days per week,Capacity per day
0,C Hani DM,Enoch Mgijima LM,ec Lizo Ngcana Clinic,Clinic,Pfizer,7/19/2021,To start next week,5 days,80.0
1,C Hani DM,Enoch Mgijima LM,ec Lesseyton Clinic,Clinic,Pfizer,7/19/2021,To start next week,5 days,80.0
2,O Tambo DM,King Sabata Dalindyebo LM,ec SOS Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0
3,O Tambo DM,King Sabata Dalindyebo LM,ec Ntshele Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0
4,O Tambo DM,King Sabata Dalindyebo LM,ec Sangoni Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0
5,O Tambo DM,King Sabata Dalindyebo LM,ec Qokolweni Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0
6,O Tambo DM,King Sabata Dalindyebo LM,ec Maxwele Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0
7,O Tambo DM,King Sabata Dalindyebo LM,ec Mpeko Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0
8,O Tambo DM,King Sabata Dalindyebo LM,ec Ngqwarha Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0
9,O Tambo DM,King Sabata Dalindyebo LM,ec Ngcengane Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0
10,O Tambo DM,King Sabata Dalindyebo LM,ec Tabase Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0
11,O Tambo DM,King Sabata Dalindyebo LM,ec Qunu Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0
12,O Tambo DM,King Sabata Dalindyebo LM,ec Xhwili Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0
13,O Tambo DM,King Sabata Dalindyebo LM,ec Upper Xongora Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0
14,O Tambo DM,King Sabata Dalindyebo LM,ec Mpunzana Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0
15,O Tambo DM,King Sabata Dalindyebo LM,ec Mahlungulu Clinic (KSD),Clinic,J&J,6/16/2021,Yes,5 days,40.0
16,O Tambo DM,King Sabata Dalindyebo LM,ec Bityi Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0
17,O Tambo DM,King Sabata Dalindyebo LM,ec Mqhekezweni Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0
18,O Tambo DM,King Sabata Dalindyebo LM,ec Tyelebana Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0
