,Unnamed: 0,District,Sub-District,Vaccination Site Name,Type of site,Pfizer or J&J,Start Date,Site Active (Yes/No),Open Days per week,Capacity per day,Latitude,Longitude,Municipality,DISTRICT_N,DISTRICT_C
0,0,C Hani DM,Enoch Mgijima LM,ec Lizo Ngcana Clinic,Clinic,Pfizer,7/19/2021,To start next week,5 days,80.0,-31.90713,26.96298,Enoch Mgijima,Chris Hani,DC13
1,1,C Hani DM,Enoch Mgijima LM,ec Lesseyton Clinic,Clinic,Pfizer,7/19/2021,To start next week,5 days,80.0,-31.84843,26.77795,Enoch Mgijima,Chris Hani,DC13
2,2,O Tambo DM,King Sabata Dalindyebo LM,ec SOS Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0,-31.73637,28.46856,King Sabata Dalindyebo,O.R.Tambo,DC15
3,3,O Tambo DM,King Sabata Dalindyebo LM,ec Ntshele Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0,-31.67409,28.73104,King Sabata Dalindyebo,O.R.Tambo,DC15
4,4,O Tambo DM,King Sabata Dalindyebo LM,ec Sangoni Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0,-31.73637,28.46856,King Sabata Dalindyebo,O.R.Tambo,DC15
5,5,O Tambo DM,King Sabata Dalindyebo LM,ec Qokolweni Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0,-31.71774,28.78358,King Sabata Dalindyebo,O.R.Tambo,DC15
6,6,O Tambo DM,King Sabata Dalindyebo LM,ec Maxwele Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0,-31.73637,28.46856,King Sabata Dalindyebo,O.R.Tambo,DC15
7,7,O Tambo DM,King Sabata Dalindyebo LM,ec Mpeko Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0,-31.73637,28.46856,King Sabata Dalindyebo,O.R.Tambo,DC15
8,8,O Tambo DM,King Sabata Dalindyebo LM,ec Ngqwarha Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0,-31.79697,28.7695,King Sabata Dalindyebo,O.R.Tambo,DC15
9,9,O Tambo DM,King Sabata Dalindyebo LM,ec Ngcengane Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0,-31.73637,28.46856,King Sabata Dalindyebo,O.R.Tambo,DC15
10,10,O Tambo DM,King Sabata Dalindyebo LM,ec Tabase Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0,-31.58519,28.57611,King Sabata Dalindyebo,O.R.Tambo,DC15
11,11,O Tambo DM,King Sabata Dalindyebo LM,ec Qunu Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0,-31.77387,28.62003,King Sabata Dalindyebo,O.R.Tambo,DC15
12,12,O Tambo DM,King Sabata Dalindyebo LM,ec Xhwili Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0,-31.73637,28.46856,King Sabata Dalindyebo,O.R.Tambo,DC15
13,13,O Tambo DM,King Sabata Dalindyebo LM,ec Upper Xongora Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0,-31.67193,28.51666,King Sabata Dalindyebo,O.R.Tambo,DC15
14,14,O Tambo DM,King Sabata Dalindyebo LM,ec Mpunzana Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0,-31.73637,28.46856,King Sabata Dalindyebo,O.R.Tambo,DC15
15,15,O Tambo DM,King Sabata Dalindyebo LM,ec Mahlungulu Clinic (KSD),Clinic,J&J,6/16/2021,Yes,5 days,40.0,-31.73637,28.46856,King Sabata Dalindyebo,O.R.Tambo,DC15
16,16,O Tambo DM,King Sabata Dalindyebo LM,ec Bityi Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0,-31.8092,28.53475,King Sabata Dalindyebo,O.R.Tambo,DC15
17,17,O Tambo DM,King Sabata Dalindyebo LM,ec Mqhekezweni Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0,-31.73637,28.46856,King Sabata Dalindyebo,O.R.Tambo,DC15
18,18,O Tambo DM,King Sabata Dalindyebo LM,ec Tyelebana Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0,-31.80164,28.39144,King Sabata Dalindyebo,O.R.Tambo,DC15
19,19,O Tambo DM,King Sabata Dalindyebo LM,ec Sakhela Clinic,Clinic,J&J,6/16/2021,Yes,5 days,40.0,-31.84503,28.63709,King Sabata Dalindyebo,O.R.Tambo,DC15
