ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,YEAR,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80PLUS,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80PLUS,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80PLUS,DistictCodes
EASTERN CAPE,ZA2,ALFRED NZO,ZA244,2020.0,427495.0,360740.0,788235.0,48389.0,55031.0,56645.0,47099.0,30012.0,25702.0,26307.0,23289.0,18307.0,15993.0,15650.0,14457.0,14550.0,12311.0,9782.0,7728.0,6243.0,48961.0,55710.0,56723.0,47178.0,26437.0,19728.0,19336.0,16238.0,12009.0,10646.0,10214.0,9119.0,9284.0,7225.0,5380.0,3778.0,2774.0,97350.0,110741.0,113368.0,94277.0,56449.0,45430.0,45643.0,39527.0,30316.0,26639.0,25864.0,23576.0,23834.0,19536.0,15162.0,11506.0,9017.0,DC44
KWAZULU-NATAL,ZA5,AMAJUBA,ZA525,2020.0,261190.0,241541.0,502731.0,25994.0,28901.0,28312.0,25265.0,21745.0,21374.0,21426.0,17010.0,13016.0,11204.0,10711.0,10298.0,9223.0,6672.0,4871.0,2958.0,2210.0,25550.0,29104.0,28611.0,25828.0,21061.0,19388.0,19612.0,16901.0,12105.0,9621.0,8392.0,8043.0,6665.0,4776.0,3023.0,1645.0,1216.0,51544.0,58005.0,56923.0,51093.0,42806.0,40762.0,41038.0,33911.0,25121.0,20825.0,19103.0,18341.0,15888.0,11448.0,7894.0,4603.0,3426.0,DC25
EASTERN CAPE,ZA2,AMATHOLE,ZA212,2020.0,415124.0,374602.0,789726.0,39818.0,44529.0,43397.0,40334.0,27811.0,22856.0,24547.0,23908.0,21618.0,19958.0,20943.0,19480.0,18349.0,16192.0,14569.0,9042.0,7773.0,40387.0,45054.0,45977.0,43263.0,26723.0,21309.0,22048.0,20213.0,16914.0,15739.0,15232.0,14442.0,14155.0,12409.0,10300.0,5846.0,4591.0,80205.0,89583.0,89374.0,83597.0,54534.0,44165.0,46595.0,44121.0,38532.0,35697.0,36175.0,33922.0,32504.0,28601.0,24869.0,14888.0,12364.0,DC12
NORTH WEST,ZA6,BOJANALA,ZA637,2020.0,825340.0,961338.0,1786678.0,83811.0,73880.0,65664.0,61323.0,70785.0,80451.0,83348.0,67247.0,50395.0,39515.0,34369.0,30410.0,26180.0,22771.0,15699.0,10529.0,8963.0,85147.0,73859.0,65790.0,64126.0,78373.0,95892.0,113639.0,92685.0,71051.0,61490.0,47977.0,37503.0,26668.0,20615.0,12405.0,8236.0,5882.0,168958.0,147739.0,131454.0,125449.0,149158.0,176343.0,196987.0,159932.0,121446.0,101005.0,82346.0,67913.0,52848.0,43386.0,28104.0,18765.0,14845.0,DC37
EASTERN CAPE,ZA2,BUFFALO CITY,ZA292,2020.0,394283.0,366557.0,760840.0,33441.0,33528.0,29418.0,30829.0,32213.0,33888.0,36752.0,31704.0,26285.0,22158.0,21001.0,18004.0,13650.0,12288.0,9393.0,5476.0,4255.0,34132.0,34205.0,29275.0,29481.0,29654.0,30440.0,34594.0,31110.0,26020.0,21366.0,17734.0,15341.0,11975.0,8674.0,6484.0,3571.0,2501.0,67573.0,67733.0,58693.0,60310.0,61867.0,64328.0,71346.0,62814.0,52305.0,43524.0,38735.0,33345.0,25625.0,20962.0,15877.0,9047.0,6756.0,BUF
EASTERN CAPE,ZA2,CACADU,ZA210,2020.0,246794.0,244362.0,491156.0,21100.0,22594.0,20565.0,18313.0,18589.0,19771.0,21034.0,19614.0,16501.0,13696.0,12294.0,10964.0,10130.0,8378.0,6384.0,3737.0,3130.0,22102.0,22130.0,20116.0,18291.0,18134.0,19522.0,21838.0,20998.0,18091.0,14601.0,11777.0,10063.0,8526.0,7225.0,5344.0,3361.0,2243.0,43202.0,44724.0,40681.0,36604.0,36723.0,39293.0,42872.0,40612.0,34592.0,28297.0,24071.0,21027.0,18656.0,15603.0,11728.0,7098.0,5373.0,DC10
WESTERN CAPE,ZA1,CAPE WINELANDS,ZA102,2020.0,453750.0,455773.0,909523.0,36554.0,37919.0,39457.0,37401.0,39489.0,38951.0,40107.0,37499.0,33012.0,26388.0,22718.0,19012.0,15830.0,12076.0,8189.0,5197.0,3951.0,37203.0,37735.0,38415.0,36551.0,38841.0,38815.0,41987.0,40409.0,36917.0,29056.0,22207.0,17866.0,14708.0,10907.0,6826.0,4451.0,2879.0,73757.0,75654.0,77872.0,73952.0,78330.0,77766.0,82094.0,77908.0,69929.0,55444.0,44925.0,36878.0,30538.0,22983.0,15015.0,9648.0,6830.0,DC2
LIMPOPO,ZA9,CAPRICORN,ZA935,2020.0,683806.0,611850.0,1295656.0,69289.0,71269.0,71143.0,66593.0,54778.0,52408.0,53224.0,46802.0,36366.0,31263.0,25617.0,23508.0,22734.0,20206.0,16209.0,10829.0,11568.0,69202.0,70954.0,71291.0,67729.0,52692.0,44673.0,46127.0,38921.0,32304.0,26229.0,20360.0,19103.0,16959.0,13545.0,10500.0,6267.0,4994.0,138491.0,142223.0,142434.0,134322.0,107470.0,97081.0,99351.0,85723.0,68670.0,57492.0,45977.0,42611.0,39693.0,33751.0,26709.0,17096.0,16562.0,DC35
WESTERN CAPE,ZA1,CENTRAL KAROO,ZA105,2020.0,38952.0,38630.0,77582.0,3531.0,3968.0,4003.0,2888.0,2541.0,2728.0,3163.0,3037.0,2695.0,2126.0,2014.0,1781.0,1563.0,1182.0,859.0,513.0,360.0,3658.0,3824.0,3837.0,2982.0,2390.0,2520.0,3073.0,3111.0,2925.0,2480.0,2027.0,1694.0,1421.0,1171.0,764.0,467.0,286.0,7189.0,7792.0,7840.0,5870.0,4931.0,5248.0,6236.0,6148.0,5620.0,4606.0,4041.0,3475.0,2984.0,2353.0,1623.0,980.0,646.0,DC5
EASTERN CAPE,ZA2,CHRIS HANI,ZA213,2020.0,392369.0,359848.0,752217.0,38675.0,44436.0,41462.0,36441.0,25624.0,23170.0,24333.0,23337.0,20519.0,18770.0,19633.0,18326.0,17079.0,13588.0,12936.0,7636.0,6404.0,39037.0,45110.0,43228.0,39498.0,24920.0,21733.0,22325.0,21047.0,17173.0,15306.0,14525.0,13740.0,13263.0,10650.0,9053.0,5190.0,4050.0,77712.0,89546.0,84690.0,75939.0,50544.0,44903.0,46658.0,44384.0,37692.0,34076.0,34158.0,32066.0,30342.0,24238.0,21989.0,12826.0,10454.0,DC13
