ADM0_EN,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,YEAR,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80PLUS,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80PLUS,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80PLUS,,,,,,,,,,,
SOUTH AFRICA,ZA,EASTERN CAPE,ZA2,ALFRED NZO,ZA244,2020,427495,360740,788235,48389,55031,56645,47099,30012,25702,26307,23289,18307,15993,15650,14457,14550,12311,9782,7728,6243,48961,55710,56723,47178,26437,19728,19336,16238,12009,10646,10214,9119,9284,7225,5380,3778,2774,97350,110741,113368,94277,56449,45430,45643,39527,30316,26639,25864,23576,23834,19536,15162,11506,9017,,,,,,,,,,,
SOUTH AFRICA,ZA,EASTERN CAPE,ZA2,AMATHOLE,ZA212,2020,415124,374602,789726,39818,44529,43397,40334,27811,22856,24547,23908,21618,19958,20943,19480,18349,16192,14569,9042,7773,40387,45054,45977,43263,26723,21309,22048,20213,16914,15739,15232,14442,14155,12409,10300,5846,4591,80205,89583,89374,83597,54534,44165,46595,44121,38532,35697,36175,33922,32504,28601,24869,14888,12364,,,,,,,,,,,
SOUTH AFRICA,ZA,EASTERN CAPE,ZA2,BUFFALO CITY,ZA292,2020,394283,366557,760840,33441,33528,29418,30829,32213,33888,36752,31704,26285,22158,21001,18004,13650,12288,9393,5476,4255,34132,34205,29275,29481,29654,30440,34594,31110,26020,21366,17734,15341,11975,8674,6484,3571,2501,67573,67733,58693,60310,61867,64328,71346,62814,52305,43524,38735,33345,25625,20962,15877,9047,6756,,,,,,,,,,,
SOUTH AFRICA,ZA,EASTERN CAPE,ZA2,CACADU,ZA210,2020,246794,244362,491156,21100,22594,20565,18313,18589,19771,21034,19614,16501,13696,12294,10964,10130,8378,6384,3737,3130,22102,22130,20116,18291,18134,19522,21838,20998,18091,14601,11777,10063,8526,7225,5344,3361,2243,43202,44724,40681,36604,36723,39293,42872,40612,34592,28297,24071,21027,18656,15603,11728,7098,5373,,,,,,,,,,,
SOUTH AFRICA,ZA,EASTERN CAPE,ZA2,CHRIS HANI,ZA213,2020,392369,359848,752217,38675,44436,41462,36441,25624,23170,24333,23337,20519,18770,19633,18326,17079,13588,12936,7636,6404,39037,45110,43228,39498,24920,21733,22325,21047,17173,15306,14525,13740,13263,10650,9053,5190,4050,77712,89546,84690,75939,50544,44903,46658,44384,37692,34076,34158,32066,30342,24238,21989,12826,10454,,,,,,,,,,,
SOUTH AFRICA,ZA,EASTERN CAPE,ZA2,JOE QADI,ZA214,2020,177432,162041,339473,17259,19753,19286,16764,12693,11681,12253,10931,8546,7778,7877,7692,7458,5930,4900,3824,2807,17393,19803,19906,17834,12398,10279,11326,10057,7735,6436,5793,5720,5631,4508,3365,2381,1476,34652,39556,39192,34598,25091,21960,23579,20988,16281,14214,13670,13412,13089,10438,8265,6205,4283,,,,,,,,,,,
SOUTH AFRICA,ZA,EASTERN CAPE,ZA2,NELSON MANDELA BAY,ZA293,2020,630300,600191,1230491,50411,52780,48015,47920,51146,53305,57529,51288,43227,36006,34261,29979,25716,19831,13797,8708,6381,51285,53675,47173,46496,47394,49523,55317,52542,44774,36801,30886,26340,21471,15731,10152,6686,3945,101696,106455,95188,94416,98540,102828,112846,103830,88001,72807,65147,56319,47187,35562,23949,15394,10326,,,,,,,,,,,
SOUTH AFRICA,ZA,EASTERN CAPE,ZA2,O.R. TAMBO,ZA215,2020,730539,628139,1358678,79611,90989,92017,84100,55935,47734,49335,42449,33360,27930,26974,23638,22556,16909,16740,11192,9070,80406,90724,93482,84481,49673,37879,36766,30602,22803,19609,17931,16008,15182,11419,10013,6225,4936,160017,181713,185499,168581,105608,85613,86101,73051,56163,47539,44905,39646,37738,28328,26753,17417,14006,,,,,,,,,,,
SOUTH AFRICA,ZA,FREE STATE,ZA4,FEZILE DABI,ZA420,2020,244675,249625,494300,22495,23018,21511,19201,18666,20112,22438,18765,14745,12611,11259,10722,9560,7841,5431,3601,2699,22597,22918,21174,19295,20042,21689,25191,21326,17480,14061,11291,9796,8214,6428,3913,2523,1687,45092,45936,42685,38496,38708,41801,47629,40091,32225,26672,22550,20518,17774,14269,9344,6124,4386,,,,,,,,,,,
SOUTH AFRICA,ZA,FREE STATE,ZA4,LEJWELEPUTSWA,ZA418,2020,287036,287157,574193,27055,27282,26238,23560,23381,23731,25117,21747,18278,15602,13683,12145,9873,7794,5423,3738,2389,27027,27266,25571,22928,23624,23991,26517,21979,19313,18781,15612,11578,8557,6396,3897,2620,1500,54082,54548,51809,46488,47005,47722,51634,43726,37591,34383,29295,23723,18430,14190,9320,6358,3889,,,,,,,,,,,
